minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6304210381183701,32.88060963283539,15.241638508656047,37.29964677574672,10.687935977664305,20.654778202145607,12.510804760018036,27.11208727237561
0,Marvin the Martian,0.6036523993780673,34.136008150661276,14.793270888469516,33.82122325425611,6.945050913131687,23.400702523265362,13.571704770931103,24.58810303584331
0,Road Runner,0.6265485792086815,25.9983603245569,13.233663180809875,32.14376589145365,6.434440420917011,30.437247661793858,11.55427957730236,17.923369425235258
0,Foghorn Leghorn,0.6298473755312303,29.676456746767258,15.397791362727524,35.07107126923568,7.002649019340073,20.58499946527166,14.37973150391523,28.905182846992325
0,Bugs Bunny,0.634214410565198,28.960495811122417,17.096807217686873,33.12568524960864,5.942320801315527,20.29417531019805,12.287123389013342,24.514923440296194
0,Elmer Fudd,0.6293241580106974,32.73171844004768,15.490486024701871,41.09634654516228,4.572624765134361,26.8337745498567,13.148645247335919,27.76387670391277
0,Lola Bunny,0.6316827305810995,33.85737429904716,13.465008154565055,34.94493968325724,4.382973284667348,22.183900590971717,17.044870936043353,33.7869606513545
0,Porky Pig,0.6061198523470832,31.612039000429284,15.733759146087886,31.79841159864135,6.664019952001219,18.418149357610364,11.68386614602053,23.282180714998972
0,Tasmanian Devil,0.5977925551621094,33.286899038066366,14.834782050769327,34.359304235539696,7.452436404859318,25.267715231500013,6.749558767281677,13.716421346641482
0,Gossamer,0.6172098748744264,28.747213330134606,15.907404079347106,34.94009623663166,6.756204341697633,18.127553608135532,13.906546672778168,28.659476893104497
0,Granny,0.607180541302135,24.186207068820735,13.498788656113309,32.43119222708824,8.28616917533986,24.13580972944542,12.792876222451822,21.824601626493425
0,Wile E. Coyote,0.6339364417658248,28.19275568042648,14.391307084481975,35.528789307770936,3.9928985403886283,25.083430735823953,14.72421863630568,28.273303109276007
0,Tweety,0.6183051659715203,27.815651785400025,13.93588689211675,36.734598160348995,6.58371275140679,22.311759590188036,10.154671890876081,23.04504734906
0,Penelope,0.6198997364403794,25.179970831601217,15.675641590397388,29.99289860613301,7.590735535924918,18.502716911805418,12.277189422082216,22.923746661634816
